Class names: positive negative 

Feature names and their values:
     general => safe normal dangerous 
     situation => weak even strong
sample_94       positive       safe       strong       none       0       
sample_95       positive       safe       strong       none       0       
sample_96       positive       safe       strong       none       0       
sample_97       positive       safe       strong       none       0       
sample_98       negative       safe       even       none       0       
sample_99       positive       safe       strong       none       0       
sample_100       positive       safe       strong       none       0       
sample_101       positive       safe       strong       none       0       
sample_102       positive       safe       strong       none       0       
sample_103       positive       safe       strong       none       0       
sample_104       positive       safe       strong       none       0       
sample_105       positive       safe       strong       none       0       
sample_106       positive       safe       strong       none       0       
sample_107       positive       safe       strong       none       0       
sample_108       positive       safe       strong       none       0       
sample_109       positive       safe       strong       none       0       
sample_110       positive       safe       strong       none       0       
sample_111       positive       safe       strong       none       0       
sample_112       positive       safe       strong       none       0       
sample_113       positive       safe       strong       none       0       
sample_114       positive       safe       strong       none       0       
sample_115       positive       safe       strong       none       0       
sample_116       positive       safe       strong       none       0       
sample_117       positive       safe       strong       none       0       
sample_118       positive       safe       strong       none       0       
sample_119       positive       safe       strong       none       0       
sample_120       positive       safe       strong       none       0       
sample_121       positive       safe       strong       none       0       
sample_122       positive       safe       strong       none       0       
sample_123       positive       safe       strong       none       0       
sample_124       positive       safe       strong       none       0       
sample_125       positive       safe       strong       none       0       
sample_126       positive       safe       strong       none       0       
sample_127       positive       safe       strong       low       0       
sample_128       positive       safe       strong       low       0       
sample_129       positive       safe       strong       none       0       
sample_130       positive       safe       strong       none       0       
sample_131       positive       safe       strong       low       0       
sample_132       positive       safe       strong       low       0       
sample_133       positive       safe       strong       none       0       
sample_134       positive       safe       strong       none       0       
sample_135       positive       safe       strong       none       0       
sample_136       positive       safe       strong       none       0       
sample_137       positive       safe       strong       none       0       
sample_138       positive       safe       strong       none       0       
sample_139       positive       safe       strong       low       0       
sample_140       positive       safe       strong       low       0       
sample_141       positive       safe       strong       none       0       
sample_142       positive       safe       strong       none       0       
sample_143       positive       safe       strong       low       0       
sample_144       positive       safe       strong       none       0       
sample_145       positive       safe       strong       none       0       
sample_146       positive       safe       strong       none       0       
sample_147       positive       safe       strong       none       0       
sample_148       positive       safe       strong       none       0       
sample_149       positive       safe       strong       none       0       
sample_150       positive       safe       strong       none       0       
sample_151       positive       safe       strong       none       0       
sample_152       positive       safe       strong       none       0       
sample_153       positive       safe       strong       none       0       
sample_154       positive       safe       strong       none       0       
sample_155       positive       safe       strong       none       0       
sample_156       negative       safe       even       none       0       
sample_157       positive       safe       strong       none       0       
sample_158       positive       safe       strong       none       0       
sample_159       positive       safe       strong       none       0       
sample_160       positive       safe       strong       none       0       
sample_161       positive       safe       strong       none       0       
sample_162       positive       safe       strong       none       0       
sample_163       positive       safe       strong       none       0       
sample_164       positive       safe       strong       none       0       
sample_165       positive       safe       strong       none       0       
sample_166       positive       safe       strong       none       0       
sample_167       positive       safe       strong       none       0       
sample_168       positive       safe       strong       none       0       
sample_169       positive       normal       strong       none       0       
sample_170       positive       safe       strong       none       0       
sample_171       positive       safe       strong       none       0       
sample_172       positive       safe       strong       none       0       
sample_173       positive       safe       strong       none       0       
sample_174       positive       safe       strong       none       0       
sample_175       negative       safe       even       none       0       
sample_176       positive       safe       strong       none       0       
sample_177       positive       safe       strong       none       0       
sample_178       positive       safe       strong       none       0       
sample_179       positive       safe       strong       none       0       
sample_180       positive       safe       strong       none       0       
sample_181       positive       safe       strong       none       0       
sample_182       negative       safe       weak       medium       1       
sample_183       negative       safe       weak       medium       0       
sample_184       positive       safe       strong       none       0       
sample_185       positive       safe       strong       none       0       
sample_186       negative       safe       weak       medium       0       
sample_187       positive       safe       strong       none       0       
sample_188       positive       safe       strong       none       0       
sample_189       positive       safe       strong       none       0       
sample_190       positive       safe       strong       none       0       
sample_191       positive       safe       strong       none       0       
sample_192       positive       safe       strong       none       0       
sample_193       positive       safe       strong       none       0       
sample_194       positive       safe       strong       none       0       
sample_195       positive       safe       strong       none       0       
sample_196       negative       normal       even       none       0       
sample_197       positive       normal       strong       none       0       
sample_198       positive       normal       strong       none       0       
sample_199       positive       normal       strong       none       0       
sample_200       positive       normal       strong       none       0       
sample_201       positive       normal       strong       none       0       
sample_202       positive       normal       strong       none       0       
sample_203       positive       normal       strong       none       0       
sample_204       positive       normal       strong       none       0       
sample_205       positive       normal       strong       none       0       
sample_206       positive       normal       strong       none       0       
sample_207       positive       normal       strong       none       0       
sample_208       positive       normal       strong       none       0       
sample_209       positive       normal       strong       none       0       
sample_210       positive       normal       strong       none       0       
sample_211       positive       normal       strong       none       0       
sample_212       positive       normal       strong       none       0       
sample_213       positive       normal       strong       none       0       
sample_214       positive       normal       strong       none       0       
sample_215       positive       normal       strong       none       0       
sample_216       positive       normal       strong       none       0       
sample_217       positive       normal       strong       none       0       
sample_218       positive       normal       strong       none       0       
sample_219       positive       normal       strong       low       0       
sample_220       positive       normal       strong       none       0       
sample_221       positive       normal       strong       none       0       
sample_222       positive       normal       strong       none       0       
sample_223       positive       normal       strong       none       0       
sample_224       positive       normal       strong       low       0       
sample_225       positive       normal       strong       none       0       
sample_226       positive       normal       strong       none       0       
sample_227       positive       normal       strong       low       0       
sample_228       positive       normal       strong       low       0       
sample_229       positive       normal       strong       none       0       
sample_230       positive       normal       strong       none       0       
sample_231       negative       normal       even       none       0       
sample_232       positive       normal       strong       none       0       
sample_233       positive       normal       strong       none       0       
sample_234       positive       normal       strong       none       0       
sample_235       positive       normal       strong       none       0       
sample_236       positive       normal       strong       none       0       
sample_237       positive       normal       strong       none       0       
sample_238       positive       normal       strong       none       0       
sample_239       positive       normal       strong       none       0       
sample_240       positive       normal       strong       none       0       
sample_241       positive       normal       strong       none       0       
sample_242       negative       normal       even       none       0       
sample_243       positive       normal       strong       none       0       
sample_244       positive       normal       strong       none       0       
sample_245       positive       normal       strong       none       0       
sample_246       positive       normal       strong       none       0       
sample_247       positive       normal       strong       none       0       
sample_248       positive       normal       strong       none       0       
sample_249       positive       normal       strong       none       0       
sample_250       positive       normal       strong       none       0       
sample_251       positive       normal       strong       none       0       
sample_252       positive       normal       strong       none       0       
sample_253       positive       normal       strong       none       0       
sample_254       positive       normal       strong       none       0       
sample_255       positive       normal       strong       none       0       
sample_256       positive       normal       strong       none       0       
sample_257       positive       normal       strong       none       0       
sample_258       positive       normal       strong       none       0       
sample_259       negative       safe       even       none       0       
sample_260       positive       safe       strong       none       0       
sample_261       positive       safe       strong       none       0       
sample_262       positive       safe       strong       none       0       
sample_263       positive       safe       strong       none       0       
sample_264       positive       safe       strong       none       0       
sample_265       positive       safe       strong       none       0       
sample_266       positive       safe       strong       none       0       
sample_267       positive       safe       strong       none       0       
sample_268       positive       safe       strong       none       0       
sample_269       positive       safe       strong       none       0       
sample_270       positive       safe       strong       none       0       
sample_271       positive       safe       strong       none       0       
sample_272       positive       safe       strong       none       0       
sample_273       positive       safe       strong       none       0       
sample_274       positive       safe       strong       none       0       
sample_275       positive       safe       strong       none       0       
sample_276       positive       safe       strong       none       0       
sample_277       positive       safe       strong       none       0       
sample_278       negative       safe       weak       low       0       
sample_279       positive       safe       strong       none       0       
sample_280       positive       safe       strong       none       0       
sample_281       negative       safe       even       low       0       
sample_282       positive       safe       strong       none       0       
sample_283       negative       safe       even       low       0       
sample_284       positive       safe       strong       none       0       
sample_285       negative       safe       even       low       0       
sample_286       positive       safe       strong       none       0       
sample_287       positive       safe       strong       none       0       
sample_288       negative       safe       even       low       0       
sample_289       positive       safe       strong       none       0       
sample_290       negative       safe       even       low       0       
sample_291       negative       safe       even       low       0       
sample_292       positive       safe       strong       none       0       
sample_293       negative       safe       even       low       0       
sample_294       positive       safe       strong       none       0       
sample_295       positive       safe       strong       none       0       
sample_296       negative       safe       even       low       0       
sample_297       positive       safe       strong       none       0       
sample_298       negative       safe       even       low       0       
sample_299       positive       safe       strong       none       0       
sample_300       positive       safe       strong       none       0       
sample_301       positive       safe       strong       none       0       
sample_302       positive       safe       strong       none       0       
sample_303       positive       safe       strong       none       0       
sample_304       positive       safe       strong       none       0       
sample_305       positive       safe       strong       none       0       
sample_306       positive       safe       strong       none       0       
sample_307       positive       safe       strong       none       0       
sample_308       positive       safe       strong       none       0       
sample_309       positive       safe       strong       none       0       
sample_310       positive       safe       strong       none       0       
sample_311       positive       safe       strong       none       0       
sample_312       positive       safe       strong       none       0       
sample_313       positive       safe       strong       none       0       
sample_314       positive       safe       strong       none       0       
sample_315       positive       safe       strong       none       0       
sample_316       negative       safe       even       none       0       
sample_317       positive       safe       strong       none       0       
sample_318       positive       safe       strong       none       0       
sample_319       positive       safe       strong       none       0       
sample_320       positive       safe       strong       none       0       
sample_321       positive       safe       strong       none       0       
sample_322       positive       safe       strong       none       0       
sample_323       positive       safe       strong       none       0       
sample_324       positive       safe       strong       none       0       
sample_325       positive       safe       strong       none       0       
sample_326       positive       safe       strong       none       0       
sample_327       positive       safe       strong       none       0       
sample_328       positive       safe       strong       none       0       
sample_329       positive       safe       strong       none       0       
sample_330       positive       safe       strong       none       0       
sample_331       positive       safe       strong       none       0       
sample_332       positive       safe       strong       none       0       
sample_333       positive       safe       strong       none       0       
sample_334       positive       safe       strong       none       0       
sample_335       positive       safe       strong       none       0       
sample_336       negative       safe       weak       low       0       
sample_337       positive       safe       strong       low       0       
sample_338       positive       safe       strong       none       0       
sample_339       positive       safe       strong       none       0       
sample_340       positive       safe       strong       none       0       
sample_341       positive       safe       strong       none       0       
sample_342       positive       safe       strong       none       0       
sample_343       positive       safe       strong       none       0       
sample_344       positive       safe       strong       low       0       
sample_345       positive       safe       strong       none       0       
sample_346       positive       safe       strong       none       0       
sample_347       positive       safe       strong       low       0       
sample_348       positive       safe       strong       none       0       
sample_349       positive       safe       strong       none       0       
sample_350       positive       safe       strong       low       0       
sample_351       positive       safe       strong       none       0       
sample_352       positive       safe       strong       none       0       
sample_353       positive       safe       strong       none       0       
sample_354       positive       safe       strong       none       0       
sample_355       positive       safe       strong       none       0       
sample_356       positive       safe       strong       none       0       
sample_357       positive       safe       strong       none       0       
sample_358       positive       safe       strong       none       0       
sample_359       positive       safe       strong       none       0       
sample_360       positive       safe       strong       none       0       
sample_361       positive       safe       strong       low       0       
sample_362       positive       safe       strong       none       0       
sample_363       positive       safe       strong       low       0       
sample_364       positive       safe       strong       none       0       
sample_365       positive       safe       strong       none       0       
sample_366       positive       safe       strong       none       0       
sample_367       positive       safe       strong       none       0       
sample_368       positive       safe       strong       none       0       
sample_369       positive       safe       strong       none       0       
sample_370       positive       safe       strong       low       0       
sample_371       positive       safe       strong       none       0       
sample_372       positive       safe       strong       none       0       
sample_373       positive       safe       strong       low       0       
sample_374       positive       safe       strong       low       0       
sample_375       positive       safe       strong       none       0       
sample_376       positive       safe       strong       none       0       
sample_377       positive       safe       strong       none       0       
sample_378       positive       safe       strong       none       0       
sample_379       positive       safe       strong       low       0       
sample_380       positive       safe       strong       none       0       
sample_381       positive       safe       strong       none       0       
sample_382       positive       safe       strong       none       0       
sample_383       positive       safe       strong       none       0       
sample_384       positive       safe       strong       none       0       
sample_385       positive       safe       strong       none       0       
sample_386       positive       safe       strong       none       0       
sample_387       positive       safe       strong       none       0       
sample_388       positive       safe       strong       none       0       
sample_389       positive       safe       strong       none       0       
sample_390       positive       safe       strong       none       0       
sample_391       positive       safe       strong       none       0       
sample_392       positive       safe       strong       low       0       
sample_393       positive       safe       strong       none       0       
sample_394       positive       safe       strong       low       0       
sample_395       positive       safe       strong       none       0       
sample_396       positive       safe       strong       none       0       
sample_397       positive       safe       strong       none       0       
sample_398       positive       safe       strong       none       0       
sample_399       positive       safe       strong       none       0       
sample_400       positive       safe       strong       low       0       
sample_401       positive       safe       strong       none       0       
sample_402       positive       safe       strong       none       0       
sample_403       positive       safe       strong       low       0       
sample_404       positive       safe       strong       none       0       
sample_405       positive       safe       strong       none       0       
sample_406       positive       safe       strong       none       0       
sample_407       positive       safe       strong       none       0       
sample_408       positive       safe       strong       none       0       
sample_409       positive       safe       strong       none       0       
sample_410       positive       safe       strong       none       0       
sample_411       positive       safe       strong       none       0       
sample_412       positive       safe       strong       none       0       
sample_413       positive       safe       strong       none       0       
sample_414       positive       safe       strong       none       0       
sample_415       positive       safe       strong       none       0       
sample_416       positive       safe       strong       none       0       
sample_417       positive       safe       strong       none       0       
sample_418       positive       safe       strong       none       0       
sample_419       positive       safe       strong       low       0       
sample_420       negative       safe       even       none       0       
sample_421       positive       safe       strong       none       0       
sample_422       positive       safe       strong       none       0       
sample_423       positive       safe       strong       none       0       
sample_424       positive       safe       strong       none       0       
sample_425       positive       safe       strong       none       0       
sample_426       positive       safe       strong       none       0       
sample_427       positive       safe       strong       none       0       
sample_428       positive       safe       strong       none       0       
sample_429       positive       safe       strong       none       0       
sample_430       positive       safe       strong       none       0       
sample_431       positive       safe       strong       none       0       
sample_432       positive       safe       strong       none       0       
sample_433       positive       safe       strong       none       0       
sample_434       positive       safe       strong       none       0       
sample_435       positive       safe       strong       none       0       
sample_436       positive       safe       strong       none       0       
sample_437       positive       safe       strong       none       0       
sample_438       positive       safe       strong       none       0       
sample_439       positive       safe       strong       none       0       
sample_440       positive       safe       strong       none       0       
sample_441       positive       safe       strong       none       0       
sample_442       positive       safe       strong       none       0       
sample_443       positive       safe       strong       none       0       
sample_444       positive       safe       strong       none       0       
sample_445       positive       safe       strong       none       0       
sample_446       positive       safe       strong       none       0       
sample_447       positive       safe       strong       none       0       
sample_448       positive       safe       strong       none       0       
sample_449       positive       safe       strong       none       0       
sample_450       positive       safe       strong       none       0       
sample_451       positive       safe       strong       low       0       
sample_452       positive       normal       strong       none       0       
sample_453       positive       safe       strong       low       0       
sample_454       positive       normal       strong       none       0       
sample_455       positive       safe       strong       none       0       
sample_456       positive       normal       strong       none       0       
sample_457       positive       safe       strong       none       0       
sample_458       positive       normal       strong       none       0       
sample_459       positive       safe       strong       low       0       
sample_460       positive       normal       strong       none       0       
sample_461       positive       safe       strong       none       0       
sample_462       positive       safe       strong       none       0       
sample_463       positive       safe       strong       none       0       
sample_464       positive       safe       strong       none       0       
sample_465       positive       safe       strong       none       0       
sample_466       positive       safe       strong       none       0       
sample_467       positive       safe       strong       none       0       
sample_468       positive       safe       strong       none       0       
sample_469       positive       safe       strong       none       0       
sample_470       positive       safe       strong       none       0       
sample_471       positive       safe       strong       none       0       
sample_472       positive       safe       strong       none       0       
sample_473       positive       safe       strong       none       0       
sample_474       positive       safe       strong       none       0       
sample_475       positive       safe       strong       none       0       
sample_476       positive       safe       strong       none       0       
sample_477       positive       safe       strong       none       0       
sample_478       positive       safe       strong       none       0       
sample_479       positive       safe       strong       none       0       
sample_480       positive       safe       strong       none       0       
sample_481       positive       safe       strong       none       0       
sample_482       negative       safe       even       none       0       
sample_483       positive       safe       strong       none       0       
sample_484       positive       safe       strong       none       0       
sample_485       positive       safe       strong       none       0       
sample_486       positive       safe       strong       none       0       
sample_487       positive       safe       strong       none       0       
sample_488       positive       safe       strong       none       0       
sample_489       positive       safe       strong       none       0       
sample_490       positive       safe       strong       none       0       
sample_491       positive       safe       strong       none       0       
sample_492       positive       safe       strong       none       0       
sample_493       positive       safe       strong       none       0       
sample_494       positive       safe       strong       none       0       
sample_495       positive       safe       strong       none       0       
sample_496       positive       safe       strong       none       0       
sample_497       positive       safe       strong       none       0       
sample_498       positive       safe       strong       none       0       
sample_499       positive       safe       strong       none       0       
sample_500       positive       safe       strong       none       0       
sample_501       positive       safe       strong       none       0       
sample_502       positive       safe       strong       none       0       
sample_503       positive       safe       strong       none       0       
sample_504       positive       normal       strong       none       0       
sample_505       positive       safe       strong       none       0       
sample_506       positive       safe       strong       none       0       
sample_507       positive       normal       strong       none       0       
sample_508       positive       safe       strong       none       0       
sample_509       positive       normal       strong       none       0       
sample_510       positive       normal       strong       none       0       
sample_511       positive       normal       strong       none       0       
sample_512       negative       normal       even       none       0       
sample_513       negative       normal       even       none       0       
sample_514       positive       normal       strong       none       0       
sample_515       positive       normal       strong       none       0       
sample_516       positive       normal       strong       none       0       
sample_517       positive       normal       strong       none       0       
sample_518       positive       normal       strong       none       0       
sample_519       negative       normal       even       none       0       
sample_520       negative       normal       even       none       0       
sample_521       negative       normal       even       none       0       
sample_522       positive       normal       strong       none       0       
sample_523       negative       normal       even       none       0       
sample_524       negative       normal       weak       low       0       
sample_525       positive       normal       strong       none       0       
sample_526       positive       normal       strong       none       0       
sample_527       negative       normal       even       none       0       
sample_528       positive       normal       strong       none       0       
sample_529       positive       normal       strong       none       0       
